Column1;Команда №1;Команда №2;Счёт
;Ротор;Торпедо-Металлург;2 : 2
;Динамо;ЦСКА;2 : 3
;Спартак;Крылья Советов;1 : 1
;Спартак-Алания;Локомотив;3 : 2
;Торпедо-Металлург;Сатурн-Ren TV;2 : 3
;Крылья Советов;Черноморец;1 : 1
;Зенит;Рубин;1 : 0
;Шинник;Динамо;0 : 0
;ЦСКА;Ростов;0 : 1
;Уралан;Спартак;1 : 2
;Торпедо М;Ротор;0 : 3
;Спартак;Зенит;1 : 1
;Черноморец;ЦСКА;0 : 1
;Рубин;Уралан;0 : 0
;Ростов;Спартак-Алания;3 : 1
;Сатурн-Ren TV;Крылья Советов;1 : 1
;Локомотив;Торпедо-Металлург;1 : 0
;Ротор;Шинник;0 : 0
;Динамо;Торпедо М;1 : 2
;Спартак-Алания;Сатурн-Ren TV;1 : 0
;Крылья Советов;Ростов;3 : 0
;Зенит;Ротор;0 : 0
;Торпедо-Металлург;Черноморец;0 : 0
;Торпедо М;Спартак;3 : 0
;Шинник;Рубин;2 : 2
;Уралан;Динамо;1 : 5
;ЦСКА;Локомотив;2 : 0
;Крылья Советов;Локомотив;3 : 0
;Сатурн-Ren TV;ЦСКА;2 : 2
;Ротор;Уралан;2 : 0
;Черноморец;Спартак-Алания;3 : 0
;Ростов;Торпедо-Металлург;1 : 0
;Рубин;Торпедо М;3 : 1
;Динамо;Зенит;7 : 1
;Спартак;Шинник;3 : 1
;Торпедо-Металлург;Крылья Советов;3 : 0
;Уралан;Шинник;0 : 2
;Зенит;Торпедо М;1 : 0
;Ростов;Сатурн-Ren TV;1 : 2
;Ротор;Спартак;1 : 1
;Спартак-Алания;ЦСКА;0 : 1
;Черноморец;Локомотив;2 : 5
;Динамо;Рубин;0 : 0
;ЦСКА;Торпедо-Металлург;1 : 0
;Шинник;Зенит;3 : 0
;Торпедо М;Уралан;3 : 0
;Ротор;Рубин;3 : 1
;Крылья Советов;Спартак-Алания;3 : 0
;Локомотив;Ростов;0 : 0
;Сатурн-Ren TV;Черноморец;2 : 0
;Спартак;Динамо;2 : 1
;Крылья Советов;ЦСКА;0 : 2
;Уралан;Зенит;1 : 0
;Шинник;Торпедо М;1 : 1
;Черноморец;Ростов;2 : 2
;Сатурн-Ren TV;Локомотив;0 : 0
;Рубин;Спартак;1 : 0
;Динамо;Ротор;3 : 1
;Торпедо-Металлург;Спартак-Алания;3 : 1
;Спартак-Алания;Зенит;0 : 2
;Крылья Советов;Уралан;0 : 0
;Локомотив;Спартак;2 : 1
;Черноморец;Рубин;1 : 0
;Ростов;Динамо;1 : 1
;Сатурн-Ren TV;Ротор;4 : 1
;ЦСКА;Шинник;2 : 2
;Торпедо-Металлург;Торпедо М;0 : 0
;Торпедо М;Спартак-Алания;2 : 0
;Уралан;ЦСКА;2 : 2
;Зенит;Торпедо-Металлург;3 : 0
;Динамо;Черноморец;3 : 2
;Шинник;Крылья Советов;2 : 0
;Спартак;Сатурн-Ren TV;0 : 1
;Рубин;Ростов;5 : 0
;Ротор;Локомотив;0 : 2
;ЦСКА;Торпедо М;2 : 0
;Спартак-Алания;Уралан;0 : 1
;Торпедо-Металлург;Шинник;1 : 2
;Крылья Советов;Зенит;2 : 1
;Локомотив;Динамо;2 : 0
;Черноморец;Ротор;1 : 0
;Ростов;Спартак;3 : 2
;Сатурн-Ren TV;Рубин;1 : 1
;Торпедо М;Крылья Советов;0 : 0
;Уралан;Торпедо-Металлург;1 : 0
;Шинник;Спартак-Алания;2 : 0
;Спартак;Черноморец;2 : 1
;Рубин;Локомотив;3 : 1
;Ротор;Ростов;2 : 0
;Зенит;ЦСКА;4 : 1
;Динамо;Сатурн-Ren TV;1 : 1
;ЦСКА;Зенит;2 : 2
;Локомотив;Рубин;1 : 1
;Торпедо-Металлург;Уралан;1 : 1
;Спартак-Алания;Шинник;0 : 1
;Крылья Советов;Торпедо М;4 : 2
;Черноморец;Спартак;2 : 3
;Ростов;Ротор;4 : 3
;Сатурн-Ren TV;Динамо;0 : 1
;Локомотив;ЦСКА;1 : 3
;Черноморец;Торпедо-Металлург;1 : 2
;Ростов;Крылья Советов;2 : 1
;Сатурн-Ren TV;Спартак-Алания;2 : 2
;Спартак;Торпедо М;1 : 0
;Рубин;Шинник;1 : 0
;Ротор;Зенит;1 : 4
;Динамо;Уралан;2 : 0
;Торпедо М;ЦСКА;3 : 2
;Уралан;Спартак-Алания;2 : 1
;Зенит;Крылья Советов;2 : 2
;Шинник;Торпедо-Металлург;3 : 0
;Рубин;Сатурн-Ren TV;0 : 0
;Ротор;Черноморец;3 : 0
;Динамо;Локомотив;1 : 1
;Спартак;Ростов;1 : 0
;ЦСКА;Уралан;2 : 0
;Торпедо-Металлург;Зенит;0 : 1
;Спартак-Алания;Торпедо М;0 : 0
;Крылья Советов;Шинник;1 : 0
;Локомотив;Ротор;3 : 0
;Черноморец;Динамо;0 : 1
;Ростов;Рубин;0 : 1
;Сатурн-Ren TV;Спартак;3 : 2
;Торпедо М;Торпедо-Металлург;3 : 0
;Динамо;Ростов;1 : 1
;Уралан;Крылья Советов;0 : 0
;Зенит;Спартак-Алания;2 : 1
;Шинник;ЦСКА;1 : 1
;Спартак;Локомотив;2 : 5
;Рубин;Черноморец;3 : 1
;Ротор;Сатурн-Ren TV;0 : 1
;Локомотив;Черноморец;1 : 0
;Спартак;Ротор;3 : 2
;Торпедо М;Зенит;1 : 2
;ЦСКА;Спартак-Алания;3 : 0
;Крылья Советов;Торпедо-Металлург;2 : 0
;Шинник;Уралан;2 : 1
;Сатурн-Ren TV;Ростов;2 : 1
;Рубин;Динамо;2 : 1
;Торпедо-Металлург;ЦСКА;2 : 1
;Спартак-Алания;Крылья Советов;1 : 1
;Зенит;Шинник;1 : 2
;Черноморец;Сатурн-Ren TV;0 : 1
;Рубин;Ротор;1 : 0
;Ростов;Локомотив;1 : 1
;Динамо;Спартак;3 : 2
;Уралан;Торпедо М;2 : 2
;Локомотив;Сатурн-Ren TV;2 : 1
;Спартак;Рубин;0 : 2
;ЦСКА;Крылья Советов;3 : 0
;Спартак-Алания;Торпедо-Металлург;2 : 0
;Торпедо М;Шинник;1 : 1
;Зенит;Уралан;5 : 1
;Ростов;Черноморец;0 : 2
;Ротор;Динамо;0 : 1
;Торпедо-Металлург;Ростов;0 : 3
;Зенит;Динамо;0 : 0
;ЦСКА;Сатурн-Ren TV;1 : 1
;Спартак-Алания;Черноморец;1 : 0
;Локомотив;Крылья Советов;2 : 1
;Уралан;Ротор;0 : 1
;Шинник;Спартак;1 : 2
;Торпедо М;Рубин;4 : 2
;Зенит;Спартак;2 : 1
;ЦСКА;Черноморец;3 : 2
;Спартак-Алания;Ростов;1 : 0
;Уралан;Рубин;1 : 1
;Шинник;Ротор;2 : 2
;Торпедо М;Динамо;1 : 1
;Торпедо-Металлург;Локомотив;1 : 3
;Крылья Советов;Сатурн-Ren TV;3 : 1
;Локомотив;Спартак-Алания;2 : 0
;Черноморец;Крылья Советов;1 : 3
;Ростов;ЦСКА;0 : 1
;Сатурн-Ren TV;Торпедо-Металлург;0 : 3
;Рубин;Зенит;1 : 2
;Ротор;Торпедо М;2 : 0
;Динамо;Шинник;1 : 2
;Спартак;Уралан;1 : 1
;Торпедо-Металлург;Ротор;1 : 0
;ЦСКА;Динамо;1 : 1
;Спартак-Алания;Рубин;1 : 0
;Крылья Советов;Спартак;0 : 2
;Торпедо М;Локомотив;1 : 0
;Уралан;Ростов;3 : 1
;Зенит;Черноморец;3 : 0
;Шинник;Сатурн-Ren TV;1 : 0
;Локомотив;Шинник;6 : 1
;Динамо;Торпедо-Металлург;0 : 1
;Ростов;Зенит;1 : 1
;Сатурн-Ren TV;Уралан;2 : 1
;Рубин;Крылья Советов;3 : 1
;Ротор;Спартак-Алания;2 : 1
;Черноморец;Торпедо М;2 : 4
;Спартак;ЦСКА;0 : 0
;ЦСКА;Ротор;3 : 0
;Торпедо-Металлург;Рубин;1 : 2
;Спартак-Алания;Спартак;3 : 0
;Крылья Советов;Динамо;1 : 0
;Торпедо М;Сатурн-Ren TV;4 : 3
;Уралан;Черноморец;1 : 0
;Зенит;Локомотив;0 : 0
;Шинник;Ростов;4 : 1
;Локомотив;Уралан;6 : 0
;Черноморец;Шинник;2 : 1
;Ростов;Торпедо М;0 : 0
;Сатурн-Ren TV;Зенит;1 : 3
;Спартак;Торпедо-Металлург;0 : 2
;Рубин;ЦСКА;3 : 2
;Ротор;Крылья Советов;1 : 0
;Динамо;Спартак-Алания;0 : 0
;ЦСКА;Торпедо-Металлург;0 : 0
;Зенит;Ротор;3 : 2
;Крылья Советов;Cатурн;1 : 1
;Алания;Рубин;0 : 0
;Кубань;Амкар;0 : 0
;Ростов;Торпедо М;0 : 4
;Спартак;Динамо;2 : 2
;Локомотив;Шинник;3 : 0
;Cатурн;Спартак;2 : 2
;Алания;Торпедо М;0 : 0
;Динамо;ЦСКА;1 : 1
;Ростов;Шинник;0 : 0
;Кубань;Рубин;1 : 0
;Торпедо-Металлург;Зенит;1 : 1
;Ротор;Крылья Советов;3 : 2
;Локомотив;Амкар;0 : 0
;Крылья Советов;ЦСКА;1 : 1
;Динамо;Ротор;5 : 0
;Зенит;Cатурн;2 : 2
;Рубин;Ростов;1 : 1
;Спартак;Торпедо-Металлург;3 : 2
;Амкар;Алания;1 : 0
;Торпедо М;Локомотив;1 : 1
;Шинник;Кубань;1 : 0
;Рубин;Локомотив;0 : 0
;Амкар;Ростов;2 : 0
;Шинник;Алания;1 : 1
;ЦСКА;Зенит;3 : 3
;Cатурн;Динамо;0 : 0
;Ротор;Спартак;2 : 3
;Торпедо М;Кубань;3 : 1
;Торпедо-Металлург;Крылья Советов;5 : 1
;Ростов;ЦСКА;1 : 3
;Кубань;Ротор;1 : 1
;Алания;Cатурн;0 : 3
;Локомотив;Торпедо-Металлург;0 : 1
;Зенит;Рубин;4 : 3
;Крылья Советов;Амкар;1 : 0
;Динамо;Торпедо М;1 : 1
;Спартак;Шинник;1 : 0
;Cатурн;Локомотив;1 : 2
;Рубин;Крылья Советов;1 : 3
;ЦСКА;Кубань;3 : 1
;Торпедо-Металлург;Ростов;2 : 2
;Амкар;Зенит;0 : 2
;Торпедо М;Спартак;2 : 1
;Шинник;Динамо;1 : 0
;Ротор;Алания;0 : 1
;Ростов;Ротор;4 : 1
;Динамо;Рубин;0 : 0
;Кубань;Cатурн;0 : 0
;Локомотив;ЦСКА;1 : 0
;Спартак;Амкар;6 : 0
;Крылья Советов;Торпедо М;2 : 5
;Зенит;Шинник;1 : 0
;Алания;Торпедо-Металлург;1 : 0
;Рубин;Спартак;2 : 0
;Торпедо-Металлург;Кубань;2 : 2
;ЦСКА;Алания;1 : 0
;Ротор;Локомотив;2 : 2
;Амкар;Динамо;0 : 1
;Торпедо М;Зенит;3 : 1
;Шинник;Крылья Советов;0 : 1
;Cатурн;Ростов;2 : 0
;Амкар;Шинник;1 : 1
;Ротор;ЦСКА;1 : 3
;Кубань;Алания;2 : 3
;Ростов;Локомотив;1 : 2
;Спартак;Зенит;0 : 3
;Динамо;Крылья Советов;1 : 1
;Cатурн;Торпедо-Металлург;1 : 1
;Торпедо М;Рубин;1 : 0
;Локомотив;Кубань;3 : 0
;Шинник;Рубин;1 : 1
;Алания;Ростов;0 : 0
;Торпедо-Металлург;Ротор;1 : 0
;Зенит;Динамо;2 : 0
;Амкар;Торпедо М;2 : 1
;ЦСКА;Cатурн;2 : 0
;Крылья Советов;Спартак;4 : 2
;Торпедо М;Шинник;2 : 0
;Кубань;Ростов;3 : 1
;Алания;Локомотив;1 : 2
;Рубин;Амкар;2 : 2
;Cатурн;Ротор;2 : 0
;Спартак;ЦСКА;0 : 2
;Зенит;Крылья Советов;1 : 2
;Динамо;Торпедо-Металлург;1 : 0
;ЦСКА;Шинник;1 : 1
;Ростов;Спартак;3 : 1
;Кубань;Крылья Советов;1 : 1
;Алания;Динамо;4 : 2
;Торпедо-Металлург;Торпедо М;0 : 2
;Ротор;Амкар;2 : 2
;Локомотив;Зенит;0 : 1
;Cатурн;Рубин;1 : 1
;Зенит;Кубань;1 : 0
;Амкар;ЦСКА;0 : 0
;Крылья Советов;Локомотив;1 : 0
;Динамо;Ростов;0 : 1
;Рубин;Торпедо-Металлург;3 : 0
;Шинник;Cатурн;1 : 0
;Торпедо М;Ротор;1 : 0
;Спартак;Алания;0 : 1
;Ротор;Рубин;0 : 1
;Алания;Крылья Советов;2 : 4
;Кубань;Динамо;0 : 0
;Ростов;Зенит;2 : 1
;Cатурн;Амкар;1 : 1
;ЦСКА;Торпедо М;3 : 3
;ФК Москва;Шинник;3 : 2
;Локомотив;Спартак;0 : 0
;Крылья Советов;Ростов;2 : 1
;Рубин;ЦСКА;2 : 1
;Шинник;Ротор;2 : 1
;Торпедо М;Cатурн;1 : 2
;Амкар;ФК Москва;1 : 0
;Зенит;Алания;3 : 2
;Спартак;Кубань;1 : 1
;Динамо;Локомотив;2 : 4
;Кубань;Зенит;1 : 3
;Локомотив;Крылья Советов;1 : 0
;Ростов;Динамо;2 : 0
;Ротор;Торпедо М;0 : 1
;ФК Москва;Рубин;1 : 0
;ЦСКА;Амкар;3 : 0
;Cатурн;Шинник;0 : 0
;Алания;Спартак;0 : 2
;Зенит;Локомотив;0 : 2
;Динамо;Алания;1 : 0
;Крылья Советов;Кубань;2 : 1
;Торпедо М;ЦСКА;0 : 1
;Амкар;Cатурн;1 : 1
;Рубин;Ротор;1 : 1
;Спартак;Ростов;1 : 0
;Шинник;ФК Москва;1 : 1
;ЦСКА;Рубин;1 : 0
;Ростов;Крылья Советов;0 : 1
;Локомотив;Динамо;2 : 1
;Cатурн;Торпедо М;1 : 1
;ФК Москва;Амкар;3 : 1
;Алания;Зенит;0 : 3
;Кубань;Спартак;1 : 2
;Ротор;Шинник;0 : 2
;Спартак;Локомотив;1 : 3
;Крылья Советов;Алания;4 : 1
;Шинник;ЦСКА;2 : 1
;Торпедо М;ФК Москва;1 : 1
;Зенит;Ростов;0 : 1
;Амкар;Ротор;1 : 1
;Динамо;Кубань;0 : 1
;Рубин;Cатурн;0 : 1
;ЦСКА;Ротор;3 : 0
;Шинник;Амкар;2 : 1
;Крылья Советов;Динамо;4 : 1
;Зенит;Спартак;2 : 0
;ФК Москва;Cатурн;2 : 1
;Рубин;Торпедо М;2 : 0
;Локомотив;Ростов;1 : 1
;Алания;Кубань;2 : 0
;Спартак;Крылья Советов;3 : 1
;Cатурн;ЦСКА;0 : 1
;Кубань;Локомотив;2 : 1
;Ростов;Алания;0 : 0
;Шинник;Торпедо М;3 : 1
;Ротор;ФК Москва;1 : 1
;Амкар;Рубин;2 : 2
;Динамо;Зенит;0 : 2
;ЦСКА;Спартак;2 : 1
;Ротор;Cатурн;1 : 0
;Торпедо М;Амкар;3 : 2
;Крылья Советов;Зенит;0 : 1
;ФК Москва;Динамо;1 : 0
;Рубин;Шинник;0 : 1
;Локомотив;Алания;3 : 0
;Ростов;Кубань;1 : 1
;Алания;ЦСКА;1 : 4
;Крылья Советов;Шинник;1 : 2
;Динамо;Амкар;3 : 1
;Спартак;Рубин;2 : 0
;Кубань;ФК Москва;0 : 0
;Ростов;Cатурн;1 : 2
;Локомотив;Ротор;0 : 1
;Зенит;Торпедо М;3 : 1
;Торпедо М;Крылья Советов;0 : 1
;ЦСКА;Локомотив;0 : 1
;Ротор;Ростов;3 : 2
;Рубин;Динамо;2 : 2
;Шинник;Зенит;2 : 1
;Cатурн;Кубань;2 : 1
;ФК Москва;Алания;0 : 0
;Амкар;Спартак;0 : 2
;Крылья Советов;Рубин;2 : 1
;Ростов;ФК Москва;1 : 2
;Спартак;Торпедо М;1 : 2
;Алания;Ротор;1 : 1
;Кубань;ЦСКА;0 : 3
;Динамо;Шинник;1 : 0
;Локомотив;Cатурн;2 : 0
;Зенит;Амкар;0 : 0
;ЦСКА;Ростов;2 : 0
;ФК Москва;Локомотив;1 : 2
;Рубин;Зенит;1 : 1
;Амкар;Крылья Советов;3 : 1
;Ротор;Кубань;1 : 1
;Cатурн;Алания;5 : 1
;Торпедо М;Динамо;3 : 1
;Шинник;Спартак;1 : 1
;Спартак;Ротор;1 : 1
;Кубань;Торпедо М;1 : 2
;Крылья Советов;ФК Москва;2 : 1
;Динамо;Cатурн;0 : 2
;Локомотив;Рубин;0 : 0
;Ростов;Амкар;0 : 0
;Алания;Шинник;2 : 1
;Зенит;ЦСКА;0 : 3
;ФК Москва;Спартак;2 : 3
;Шинник;Ростов;1 : 0
;Торпедо М;Алания;3 : 2
;Амкар;Локомотив;0 : 1
;Рубин;Кубань;2 : 0
;Ротор;Динамо;0 : 0
;ЦСКА;Крылья Советов;1 : 1
;Cатурн;Зенит;1 : 3
;Алания;Амкар;1 : 2
;ЦСКА;Динамо;0 : 0
;Локомотив;Торпедо М;3 : 1
;Кубань;Шинник;1 : 0
;Ростов;Рубин;1 : 0
;Зенит;ФК Москва;2 : 3
;Крылья Советов;Ротор;1 : 0
;Спартак;Cатурн;0 : 2
;Динамо;Спартак;1 : 1
;ФК Москва;ЦСКА;1 : 4
;Ротор;Зенит;2 : 5
;Cатурн;Крылья Советов;1 : 2
;Рубин;Алания;4 : 1
;Амкар;Кубань;1 : 2
;Торпедо М;Ростов;4 : 1
;Шинник;Локомотив;0 : 2
;Зенит;Динамо;4 : 1
;Локомотив;Томь;2 : 0
;Крылья Советов;Алания;2 : 0
;Шинник;Амкар;1 : 1
;Спартак;ФК Москва;0 : 2
;ЦСКА;Терек;3 : 0
;Торпедо М;Ростов;3 : 1
;Cатурн;Рубин;0 : 0
;Локомотив;ФК Москва;0 : 0
;Динамо;Торпедо М;2 : 1
;Cатурн;Амкар;2 : 0
;Спартак;Рубин;3 : 0
