Column1;Команда №1;Команда №2;Счёт
;Уралмаш;Жемчужина;2 : 1
;КАМАЗ-Чаллы;Ротор;0 : 0
;Жемчужина;Зенит;1 : 0
;Алания;Ростсельмаш;3 : 2
;Балтика;Торпедо-Лужники;2 : 2
;Черноморец;Динамо;1 : 2
;Локомотив;КАМАЗ-Чаллы;2 : 0
;Ротор;Спартак;4 : 3
;ЦСКА;Крылья Советов;1 : 2
;Лада;Локомотив НН;1 : 2
;Энергия-Текстильщик;Уралмаш;0 : 0
;Алания;Жемчужина;3 : 1
;Балтика;Зенит;2 : 0
;Черноморец;Ростсельмаш;2 : 1
;Локомотив;Торпедо-Лужники;2 : 1
;Ротор;Динамо;0 : 1
;ЦСКА;КАМАЗ-Чаллы;4 : 2
;Лада;Спартак;1 : 1
;Энергия-Текстильщик;Крылья Советов;2 : 1
;Локомотив НН;Уралмаш;2 : 2
;Динамо;ЦСКА;2 : 3
;Торпедо-Лужники;Ротор;1 : 0
;Ростсельмаш;Локомотив;0 : 2
;Спартак;Энергия-Текстильщик;4 : 2
;Уралмаш;Алания;1 : 3
;Зенит;Черноморец;1 : 0
;Жемчужина;Балтика;2 : 1
;Крылья Советов;Локомотив НН;2 : 1
;КАМАЗ-Чаллы;Лада;2 : 0
;Черноморец;Жемчужина;3 : 1
;Локомотив;Зенит;3 : 1
;Ротор;Ростсельмаш;4 : 2
;Лада;Динамо;0 : 1
;Энергия-Текстильщик;КАМАЗ-Чаллы;2 : 2
;Локомотив НН;Спартак;1 : 1
;Крылья Советов;Уралмаш;1 : 1
;Балтика;Алания;2 : 0
;ЦСКА;Торпедо-Лужники;2 : 0
;Торпедо-Лужники;Лада;3 : 1
;Ростсельмаш;ЦСКА;0 : 5
;Алания;Черноморец;2 : 1
;Жемчужина;Локомотив;1 : 3
;Спартак;Крылья Советов;2 : 0
;Динамо;Энергия-Текстильщик;2 : 0
;Зенит;Ротор;0 : 1
;КАМАЗ-Чаллы;Локомотив НН;3 : 1
;Уралмаш;Балтика;2 : 1
;Черноморец;Балтика;1 : 0
;Ротор;Жемчужина;4 : 1
;ЦСКА;Зенит;1 : 0
;Лада;Ростсельмаш;0 : 2
;Энергия-Текстильщик;Торпедо-Лужники;1 : 1
;Локомотив НН;Динамо;2 : 0
;Крылья Советов;КАМАЗ-Чаллы;2 : 0
;Спартак;Уралмаш;3 : 0
;Локомотив;Алания;0 : 0
;Торпедо-Лужники;Локомотив НН;0 : 0
;Ростсельмаш;Энергия-Текстильщик;2 : 1
;Зенит;Лада;2 : 1
;Жемчужина;ЦСКА;0 : 1
;Алания;Ротор;3 : 2
;Балтика;Локомотив;0 : 1
;КАМАЗ-Чаллы;Спартак;1 : 2
;Динамо;Крылья Советов;2 : 1
;Уралмаш;Черноморец;4 : 0
;Лада;Жемчужина;1 : 1
;Энергия-Текстильщик;Зенит;2 : 0
;Локомотив НН;Ростсельмаш;2 : 3
;Крылья Советов;Торпедо-Лужники;3 : 0
;Спартак;Динамо;3 : 1
;Уралмаш;КАМАЗ-Чаллы;1 : 0
;ЦСКА;Алания;2 : 0
;Локомотив;Черноморец;3 : 1
;Ротор;Балтика;1 : 0
;Торпедо-Лужники;Спартак;3 : 4
;КАМАЗ-Чаллы;Динамо;3 : 2
;Уралмаш;Локомотив;2 : 1
;Ростсельмаш;Крылья Советов;1 : 0
;Зенит;Локомотив НН;2 : 0
;Жемчужина;Энергия-Текстильщик;1 : 1
;Балтика;ЦСКА;2 : 1
;Черноморец;Ротор;0 : 0
;Алания;Лада;3 : 0
;Локомотив;Ротор;2 : 0
;ЦСКА;Черноморец;1 : 3
;Лада;Балтика;0 : 5
;Энергия-Текстильщик;Алания;0 : 2
;Локомотив НН;Жемчужина;4 : 1
;Крылья Советов;Зенит;1 : 0
;Спартак;Ростсельмаш;1 : 1
;КАМАЗ-Чаллы;Торпедо-Лужники;2 : 1
;Динамо;Уралмаш;2 : 0
;Торпедо-Лужники;Динамо;2 : 5
;Ростсельмаш;КАМАЗ-Чаллы;4 : 5
;Зенит;Спартак;1 : 2
;Жемчужина;Крылья Советов;2 : 2
;Алания;Локомотив НН;3 : 1
;Балтика;Энергия-Текстильщик;4 : 1
;Черноморец;Лада;4 : 1
;Локомотив;ЦСКА;1 : 2
;Ротор;Уралмаш;2 : 1
;Спартак;Алания;2 : 1
;Ротор;Черноморец;1 : 1
;Жемчужина;Спартак;0 : 1
;Локомотив;Балтика;1 : 1
;Локомотив НН;Крылья Советов;0 : 1
;Динамо;ЦСКА;2 : 0
;Алания;КАМАЗ-Чаллы;5 : 0
;Тюмень;Ростсельмаш;0 : 1
;Факел;Зенит;0 : 1
;Шинник;Торпедо-Лужники;1 : 3
;КАМАЗ-Чаллы;Ротор;0 : 5
;Балтика;Локомотив НН;1 : 0
;Крылья Советов;Факел;1 : 0
;Черноморец;Жемчужина;2 : 2
;Ростсельмаш;Локомотив;2 : 2
;Зенит;Динамо;0 : 0
;ЦСКА;Алания;2 : 1
;Спартак;Шинник;3 : 0
;Торпедо-Лужники;Тюмень;1 : 1
;Ротор;ЦСКА;1 : 0
;Жемчужина;КАМАЗ-Чаллы;1 : 0
;Локомотив НН;Ростсельмаш;0 : 1
;Факел;Балтика;0 : 2
;Динамо;Крылья Советов;0 : 1
;Алания;Зенит;0 : 2
;Шинник;Черноморец;1 : 0
;Торпедо-Лужники;Спартак;0 : 3
;Локомотив;Тюмень;3 : 1
;Зенит;Ротор;0 : 1
;Ростсельмаш;Факел;2 : 0
;Локомотив;Локомотив НН;1 : 1
;Балтика;Динамо;0 : 2
;Крылья Советов;Алания;1 : 3
;ЦСКА;Жемчужина;1 : 1
;КАМАЗ-Чаллы;Шинник;3 : 0
;Черноморец;Торпедо-Лужники;2 : 1
;Тюмень;Спартак;2 : 2
;Ротор;Крылья Советов;1 : 1
;Динамо;Ростсельмаш;1 : 0
;Факел;Локомотив;1 : 0
;Локомотив НН;Тюмень;1 : 0
